feature,neutral to neutral,negative to neutral,neutral to positive,neutral to negative,negative to negative,positive to neutral,positive to negative,negative to positive,positive to positive,small than 0.05 count
wt_fa_atr,3.19E-05,0.146847369,0.00707738,0.726866378,0.264687884,0.875571477,0.735099479,0.350323629,0.092647439,2
wt_fa_rep,2.54E-06,0.993586247,0.995007261,0.764389901,0.636338846,0.087316162,0.450729695,0.901769147,0.362474769,1
wt_fa_intra_rep,2.58E-13,0.392292738,0.009358476,0.012720639,0.980655287,0.38093871,0.615105329,0.93377647,0.959921781,3
wt_fa_sol,2.20E-05,0.498883767,0.09611605,0.65899035,0.289164254,0.019645551,0.511883666,0.609891151,0.772387075,2
wt_lk_ball_wtd,0.133645524,0.354302437,0.02964695,0.102313981,0.439846661,0.001654856,0.067289411,0.376482129,0.236420974,2
wt_fa_intra_sol_xover4,0.162802262,0.449586048,0.989602976,0.880143328,0.713488801,0.654996257,0.85007532,0.854072019,0.779900502,0
wt_fa_elec,0.633739134,0.007962909,0.309150177,0.187268027,0.288377007,0.739754927,0.037943449,0.181764517,0.031474653,3
wt_hbond_lr_bb,0.635877421,0.292359317,0.319151898,0.88735242,0.591332393,0.160455007,0.861200918,0.523138528,0.131983368,0
wt_hbond_sr_bb,2.04E-07,0.106758866,0.06127416,0.59115476,0.716074078,0.000405077,0.719488553,0.472928777,0.687673783,2
wt_hbond_bb_sc,0.784293766,0.07735608,0.02756984,0.444766748,0.329515134,0.198511201,0.722318437,0.207486093,0.49635443,1
wt_hbond_sc,0.663897041,0.403818243,0.039685106,0.316797021,0.439846661,0.00012087,0.477255323,0.412625691,0.233041904,2
wt_dslf_fa13,0.07742251,0.437720694,0.902498852,0.376924904,0.788350563,0.001293869,0.057974075,0.387594757,0.398746786,1
wt_rama_prepro,0.105077894,0.126408416,0.054643388,0.241789391,0.54900177,0.009477993,0.308283527,0.189186696,0.158687368,1
wt_p_aa_pp,1.03E-08,0.863045232,0.427950246,0.319927374,0.473355833,0.981861062,0.939730232,0.013939563,0.890814975,2
wt_fa_dun,0.285258586,0.030698443,0.156528997,0.520641025,0.832654293,0.005766065,0.879803863,0.228347718,0.273195611,2
wt_omega,0.081859938,0.043251426,0.066333967,0.583871995,0.211127211,0.000140536,0.080712602,0.539071059,0.21848942,2
wt_pro_close,0.709709696,0.563601376,0.395582119,0.817324273,0.596126908,0.036724892,0.196041257,0.721699537,0.076142793,1
wt_yhh_planarity,0.059240348,0.304048535,0.249906847,0.273819839,0.684000971,0.12032521,0.494407376,0.636347271,0.374878553,0
wt_ref,7.72E-41,0.00184056,0.002058032,0.004543943,0.429661091,0.487248897,0.351398516,0.399176761,0.895660774,4
wt_sum,2.56E-09,0.832012916,0.056296359,0.47248726,0.522763345,0.983931992,0.838240886,0.263511452,0.20900958,1
mu_fa_atr,4.72E-05,0.170831269,0.003271907,0.923307877,0.252282643,0.901601584,0.74008999,0.378846707,0.106753572,2
mu_fa_rep,0.276847709,0.640732992,0.018111075,0.082786307,0.487359813,0.017357044,0.374831395,0.72060816,0.254857141,2
mu_fa_intra_rep,4.81E-13,0.401324533,0.012604692,0.016675463,0.959941726,0.414481637,0.634508206,0.876811557,0.993154581,3
mu_fa_sol,3.46E-05,0.437746629,0.041259148,0.404048541,0.294715505,0.030701628,0.494407376,0.683496038,0.804458038,3
mu_lk_ball_wtd,0.139882948,0.335349804,0.03162134,0.096053839,0.441900277,0.001152263,0.067714692,0.388396095,0.220329589,2
mu_fa_intra_sol_xover4,0.162797317,0.449586048,0.989602976,0.880143328,0.713488801,0.654996257,0.85007532,0.854072019,0.779900502,0
mu_fa_elec,0.57647126,0.005885411,0.298832464,0.164264636,0.355036517,0.88898176,0.028812447,0.169525394,0.030145091,3
mu_hbond_lr_bb,0.62767012,0.292359317,0.319151898,0.88735242,0.591332393,0.161941687,0.861200918,0.523138528,0.131983368,0
mu_hbond_sr_bb,1.86E-07,0.106758866,0.06127416,0.59115476,0.716074078,0.000412794,0.719488553,0.472928777,0.687673783,2
mu_hbond_bb_sc,0.742091197,0.092036121,0.031085958,0.434767121,0.371488278,0.224299546,0.720195665,0.195065667,0.49868516,1
mu_hbond_sc,0.555963496,0.514996604,0.044163918,0.338577893,0.510446177,0.00045185,0.451865348,0.367502556,0.227329178,2
mu_dslf_fa13,0.07742251,0.437720694,0.902498852,0.376924904,0.788350563,0.001293869,0.057974075,0.387594757,0.398746786,1
mu_rama_prepro,0.217006961,0.119341688,0.052786008,0.220532159,0.543242923,0.006599721,0.30693917,0.191159161,0.157243719,1
mu_p_aa_pp,1.51E-09,0.85273256,0.431983801,0.287440871,0.470155869,0.963681333,0.932965051,0.013529915,0.883070247,2
mu_fa_dun,0.244909762,0.032029028,0.166040601,0.551169232,0.835358064,0.005255989,0.853780651,0.203830849,0.258971383,2
mu_omega,0.081901742,0.043020173,0.066162464,0.577803845,0.211127211,0.000140984,0.080712602,0.539071059,0.21848942,2
mu_pro_close,0.266575084,0.53005107,0.393021733,0.785267387,0.648123728,0.006746723,0.207729329,0.699982377,0.076244302,1
mu_yhh_planarity,0.062014559,0.304503439,0.250159184,0.27406075,0.684000971,0.132503121,0.494407376,0.636000596,0.374878553,0
