feature,nonpolar to nonpolar,acidic_polar to polar,nonpolar to basic_polar,nonpolar to acidic_polar,nonpolar to polar,polar to nonpolar,polar to polar,acidic_polar to acidic_polar,acidic_polar to nonpolar,basic_polar to acidic_polar,polar to basic_polar,basic_polar to basic_polar,basic_polar to nonpolar,basic_polar to polar,acidic_polar to basic_polar,polar to acidic_polar,small than 0.05 count
wt_fa_atr,0.091853476,0.519496875,0.155931016,0.773113824,0.00121068,0.013203628,0.443681991,0.264687884,0.039365254,0.79788668,0.108710255,0.675880512,0.882873763,0.692082255,0.828737318,0.684523999,3
wt_fa_rep,0.002449738,0.661676479,0.975562746,0.464973335,0.064064452,0.006621605,0.313694161,0.636338846,0.145281111,0.305354267,0.68508212,0.020591847,0.40637754,0.498404667,0.174652968,0.653515369,3
wt_fa_intra_rep,2.99E-06,0.619774442,0.042491084,0.012527536,0.001665364,0.013113452,0.005439498,0.980655287,0.297842373,0.86318281,0.027324965,0.921642956,0.644075399,0.029175236,0.732205709,0.315543251,8
wt_fa_sol,0.042088299,0.528437012,0.311558827,0.510036321,0.005821868,0.007493701,0.18494215,0.289164254,0.042420643,0.803192473,0.604505185,0.169270049,0.337444248,0.017632592,0.872121656,0.759481395,5
wt_lk_ball_wtd,0.385371381,0.062060714,0.235105477,0.177087314,0.453775731,0.031762702,0.460627346,0.439846661,0.213824544,0.103565251,0.098160511,0.00042162,0.241968105,0.014103861,0.911973541,0.804550952,3
wt_fa_intra_sol_xover4,0.38087667,0.992941558,0.952341121,0.906525082,0.430503199,0.444380703,0.873197665,0.713488801,0.35128576,0.84325917,0.72466567,0.663319576,0.88818837,0.660809835,0.71454964,0.896062676,0
wt_fa_elec,0.654908022,0.025700603,0.148717361,0.574342163,0.277670855,0.508306172,0.752020658,0.288377007,0.127410859,0.022201806,0.8037444,0.193668522,0.650504151,0.363177506,0.150583385,0.345856726,2
wt_hbond_lr_bb,0.483571468,0.490845882,0.866849949,0.789422337,0.509978488,0.08104059,0.028371618,0.591332393,0.96217263,0.653429065,0.663901126,0.011661593,0.86825416,0.081004281,0.680787042,0.79255061,2
wt_hbond_sr_bb,0.001300103,0.613118723,0.320163611,0.634245057,0.00169634,0.003062703,0.290506816,0.716074078,0.000982892,0.987401411,0.270449937,0.001709089,0.317281312,0.007153171,0.993558812,0.535765071,6
wt_hbond_bb_sc,0.929142946,0.097416417,0.443263725,0.912817345,0.741554585,0.018531024,0.044562313,0.329515134,0.975833226,0.429399963,0.123743099,0.005043623,0.876464386,0.147260945,0.989878295,0.535765071,3
wt_hbond_sc,0.538942315,0.227335682,0.541235916,0.732704852,0.898275057,0.075732828,0.016878548,0.439846661,0.511538559,0.250155826,0.073526548,3.79E-05,0.16298743,0.000889156,0.929239179,0.406292701,3
wt_dslf_fa13,0.065643755,0.872039513,0.625400028,0.61984493,0.021508711,0.742146636,0.824087993,0.788350563,0.204579086,0.061843579,0.426130337,0.176225714,0.018766572,0.047452673,0.472658447,0.18315164,3
wt_rama_prepro,0.571882319,0.043108276,0.199104195,0.534931157,0.426877055,0.095990192,0.892417524,0.54900177,0.71672968,0.228243854,0.426072417,0.00447074,0.093344817,0.289403268,0.039977499,0.865643481,3
wt_p_aa_pp,0.000488264,0.878410504,0.852039389,0.273682044,0.011402673,3.55E-05,0.866701508,0.473355833,0.319862385,0.826642727,0.81130774,0.177970113,0.199097566,0.447866029,0.200787709,0.386111154,3
wt_fa_dun,0.914461629,0.300575445,0.142723575,0.706163719,0.614846302,0.401953714,0.017412916,0.832654293,0.030613807,0.956745994,0.127184035,0.160335688,0.317539546,0.028850606,0.25008462,0.284432283,3
wt_omega,0.076905099,0.003853308,0.08168246,0.832496383,0.919504977,0.953204696,0.127074165,0.211127211,0.669790944,0.074591199,0.398470533,0.000783697,0.009441871,0.115073943,0.185790488,0.834074186,3
wt_pro_close,0.890207429,0.156133773,0.879559223,0.960342541,0.339745791,0.818977287,0.628509499,0.596126908,0.32133164,0.136454036,0.240847306,0.001132115,0.484370045,0.182093337,0.779541859,0.565347593,1
wt_yhh_planarity,0.213976558,0.540982546,0.468890911,0.337622028,0.346440588,0.552866568,0.741351458,0.684000971,0.388582495,0.531677788,0.351779567,0.15210243,0.415202386,0.277686365,0.64068123,0.581018875,0
wt_ref,4.98E-17,0.018774312,0.144026784,0.280699957,1.67E-10,1.34E-07,2.19E-08,0.429661091,0.089521617,0.047625345,0.01344764,0.96158644,0.221647442,0.205723763,0.142789465,0.056795754,7
wt_sum,0.000397231,0.512990737,0.342660287,0.368530563,0.024637102,0.003234723,0.006745731,0.522763345,0.384747808,0.979734042,0.005111752,0.350898601,0.984742338,0.804601182,0.352524494,0.990816675,5
mu_fa_atr,0.128456234,0.599266779,0.137024814,0.927458058,0.000800159,0.014572027,0.465780645,0.252282643,0.039720161,0.795237264,0.080896632,0.718283093,0.875105847,0.662320037,0.904008242,0.647713561,3
mu_fa_rep,0.852815918,0.312698647,0.264027082,0.198671088,0.300847321,0.298669888,0.657787218,0.487359813,0.176083371,0.244823245,0.509624394,0.004881256,0.184314797,0.307507656,0.10526322,0.580624626,1
mu_fa_intra_rep,5.54E-06,0.632527881,0.040639071,0.014594047,0.001182916,0.015066213,0.005861464,0.959941726,0.299435521,0.873448622,0.03352522,0.979872967,0.610322902,0.043883785,0.669829558,0.319443757,8
mu_fa_sol,0.051606267,0.541689472,0.252109217,0.332064927,0.007120612,0.005112119,0.195981021,0.294715505,0.032846328,0.795237264,0.477802806,0.159150083,0.378802095,0.019155635,0.968196501,0.735069727,4
mu_lk_ball_wtd,0.378775216,0.058967481,0.239754215,0.176787888,0.455862358,0.033589692,0.439621082,0.441900277,0.22740626,0.103419712,0.102068782,0.000343677,0.219067101,0.010728825,0.87796439,0.760357855,3
mu_fa_intra_sol_xover4,0.38087667,0.992941558,0.952341121,0.906525082,0.430503199,0.444364883,0.873197665,0.713488801,0.35128576,0.84325917,0.72466567,0.663319576,0.88818837,0.660809835,0.71454964,0.896062676,0
mu_fa_elec,0.689925934,0.019084256,0.152038394,0.534777523,0.268391964,0.459877669,0.766268756,0.355036517,0.114631481,0.017592294,0.852187353,0.16840215,0.575866254,0.419801393,0.143104157,0.359570569,2
mu_hbond_lr_bb,0.476139655,0.490845882,0.866849949,0.789422337,0.509978488,0.080014136,0.028371618,0.591332393,0.96217263,0.653429065,0.663901126,0.011661593,0.873101059,0.081004281,0.680787042,0.79255061,2
mu_hbond_sr_bb,0.00120553,0.613118723,0.320229888,0.634245057,0.001697266,0.00300015,0.290506816,0.716074078,0.000982892,0.987401411,0.270449937,0.001709089,0.320609113,0.007153171,0.993558812,0.535765071,6
mu_hbond_bb_sc,0.942495919,0.114590673,0.462066344,0.907265051,0.766073052,0.01395222,0.043526283,0.371488278,0.967526483,0.428198299,0.129334385,0.006302612,0.862508938,0.157654452,0.981598038,0.540704322,3
mu_hbond_sc,0.506273412,0.267485984,0.546204574,0.795269648,0.836219376,0.056590159,0.021557695,0.510446177,0.432523025,0.239022737,0.095933159,5.75E-05,0.212899151,0.001878375,0.991718532,0.427761319,3
mu_dslf_fa13,0.065643755,0.872039513,0.625400028,0.61984493,0.021508711,0.742146636,0.824087993,0.788350563,0.204579086,0.061843579,0.426130337,0.176225714,0.018766572,0.047452673,0.472658447,0.18315164,3
mu_rama_prepro,0.924275891,0.042951155,0.192842883,0.52544813,0.433161184,0.126160141,0.897511523,0.543242923,0.732662032,0.228509035,0.430370908,0.004476701,0.071818877,0.282652054,0.04050668,0.879242182,3
mu_p_aa_pp,0.000114188,0.872159645,0.865939595,0.257449254,0.011182423,1.85E-05,0.858949638,0.470155869,0.320997332,0.83253041,0.798968854,0.178600136,0.184450481,0.455896249,0.196130198,0.370538061,3
mu_fa_dun,0.879535509,0.297877321,0.131224765,0.704429645,0.561712367,0.431018262,0.02082992,0.835358064,0.039562091,0.939800602,0.136269231,0.131772313,0.33279375,0.029787783,0.196700878,0.277754099,3
mu_omega,0.076603259,0.003853308,0.081742138,0.82739996,0.920520502,0.952591081,0.127074165,0.211127211,0.669691084,0.074591199,0.398470533,0.000783697,0.009564353,0.115073943,0.185790488,0.834074186,3
mu_pro_close,0.066562407,0.154052009,0.88901764,0.900608299,0.351180715,0.561394204,0.617197694,0.648123728,0.346841267,0.139553646,0.242369292,0.001156051,0.222206525,0.1891568,0.785615903,0.523329887,1
mu_yhh_planarity,0.219465609,0.541588454,0.469476068,0.338092707,0.346051687,0.568236589,0.741807708,0.684000971,0.388582495,0.531677788,0.352088865,0.162906047,0.43700312,0.277361057,0.640209751,0.581018875,0
mu_ref,2.41E-17,0.014326454,0.146490135,0.260354367,3.18E-10,6.83E-08,3.65E-08,0.423114601,0.093981092,0.050548387,0.016726096,0.899553191,0.346344214,0.193612475,0.141669899,0.085196883,6
mu_sum,0.16885705,0.281211124,0.964816261,0.788344118,0.105779796,0.06240593,0.014898903,0.632636161,0.424210883,0.987949133,0.038589036,0.237548269,0.699857363,0.961494277,0.303146586,0.900161518,2
